epoch,acc,loss,lr,val_acc,val_loss
0,0.7703583061889251,0.7033192940149933,0.01,0.8108178730387273,0.5589397009807683
1,0.8739530013959982,0.3888579825638837,0.01,0.8403449176122229,0.5146396969312907
2,0.9127210330386226,0.2715666684759334,0.01,0.8474000523225551,0.5041872571490905
3,0.9463704048394602,0.18391725516987711,0.01,0.8434805331947849,0.5613042982589616
4,0.9639948813401582,0.13743974719492985,0.01,0.8387771101480119,0.6181048063718528
5,0.9755409492787342,0.10232995042430905,0.01,0.8387771099299652,0.6669151078698403
6,0.9829281060958586,0.08178467574807143,0.01,0.838515808649589,0.6907480683188417
