epoch,acc,loss,lr,val_acc,val_loss
0,0.7565785456842042,0.7392930529392554,0.005,0.817531633995748,0.5377061975979486
1,0.8666279992527982,0.40424750018843264,0.005,0.8344030809057058,0.5049021750683087
2,0.906465596208439,0.28290407719142097,0.005,0.8351366220538428,0.5285650086079346
3,0.9343977043775566,0.20516014293880608,0.005,0.8336695397247771,0.5666573988108072
4,0.955613895842237,0.14448784949100238,0.005,0.8338529250282072,0.6213909724032838
5,0.9684046644985156,0.11033725319529739,0.005,0.8322024573847807,0.677582550951697
6,0.9763721838940106,0.08899752514758559,0.005,0.82871813683822,0.6856656310625214
