epoch,acc,loss,lr,val_acc,val_loss
0,0.747221883013799,0.7611011296186798,0.005,0.7880843263498476,0.6179403627279371
1,0.8421357919305421,0.4627111839613412,0.005,0.7783684693379319,0.6589291592894291
2,0.8784650140359501,0.36000534456092687,0.005,0.8152153987495534,0.5838802014328164
3,0.9052997923898878,0.28164734768989774,0.005,0.8093492209528915,0.6419871023660619
4,0.9259982903749897,0.22461460232516323,0.005,0.8183318057484195,0.6194533072842249
5,0.9430943949127361,0.18107442749967387,0.005,0.8098991751015241,0.6930696785395348
6,0.9561301746244962,0.14055113107719355,0.005,0.8148487626358962,0.64778411366544
7,0.9636097203565759,0.12454633989301644,0.005,0.8262144821701959,0.6880222035809245
8,0.970845036016656,0.10053213273871875,0.005,0.8353803850225524,0.6901371848790827
9,0.9781719379582849,0.08458291326709422,0.005,0.8333638863537314,0.6930370888094854
10,0.9927952130834529,0.043842883235384274,0.001,0.8612282309916782,0.5966327975312031
11,0.998504090853584,0.027682720231899254,0.001,0.8652612282637606,0.6003076985819857
12,0.9992673098058371,0.02459024653768551,0.001,0.862144821308601,0.6091637716284594
13,0.9994199535962877,0.02302320453110072,0.001,0.86141154907036,0.6109153297382358
14,0.9996947124190988,0.021863034845493932,0.001,0.8647112740932748,0.6165374481874688
15,0.9998473562095493,0.02081823897966427,0.001,0.8647112740823482,0.6243291229528642
