epoch,acc,loss,lr,val_acc,val_loss
0,0.7560916030534351,0.7445158285912666,0.01,0.8236586706277281,0.5240429991921364
1,0.8630534351181438,0.40720828220134475,0.01,0.8196301044310609,0.5377956063859608
2,0.9022290076372278,0.2943925399234277,0.01,0.8511261674122722,0.4764498237768081
3,0.9305648854998232,0.21778248663531005,0.01,0.8474638345171257,0.4990881434335658
4,0.9510534351035839,0.16081236680045383,0.01,0.8527742172199997,0.5472208221105839
5,0.9638778625844999,0.12299246599656025,0.01,0.8216443875075653,0.697157815423472
6,0.9719083969356449,0.1059953723372394,0.01,0.8439846182672821,0.615577742940361
7,0.9780458015267176,0.08741617559567663,0.01,0.85039370083106,0.6856870066222418
8,0.9793282442638892,0.08350616884413567,0.01,0.17414392971049472,9.165480711154068
