epoch,acc,loss,lr,val_acc,val_loss
0,0.7600134326608383,0.7285603734072434,0.005,0.8219981668522115,0.5347206197672214
1,0.8681462938014892,0.3984983217397413,0.005,0.8348304308192868,0.5123205560593295
2,0.9058493100500672,0.28325930638822217,0.005,0.8364802933525973,0.49976766288662916
3,0.9368665282550728,0.2004403688376575,0.005,0.8436296975361328,0.5411163475866387
4,0.9589998778704104,0.14159315345939197,0.005,0.8432630614443288,0.6003802964656753
5,0.9701734033386733,0.10708211172389845,0.005,0.8366636113875727,0.6420430568409665
6,0.9766149712956887,0.08822305873172859,0.005,0.826947754375657,0.7281215779613072
7,0.982842837953352,0.07329834462038282,0.005,0.8236480293527423,0.8050585438826017
