epoch,acc,loss,lr,val_acc,val_loss
0,0.6985648854925433,0.9052556214878578,0.005,0.7324665812886344,0.7890118366631587
1,0.8182595419774529,0.5354103880547385,0.005,0.7764145761177099,0.6557200789407941
2,0.8543206106906629,0.42520890172929254,0.005,0.7846548251781768,0.6783626395646217
3,0.8747786259614785,0.3683506989042268,0.005,0.7667093939057332,0.7098698875467936
4,0.8966717557251909,0.3016332946469766,0.005,0.7830067753813639,0.6778318785394293
5,0.9152977099127442,0.25143629890088814,0.005,0.747482146181656,0.8434827460340693
6,0.9277862595310647,0.22185264024661697,0.005,0.769639260263326,0.8016292874225001
