epoch,acc,loss,lr,val_acc,val_loss
0,0.7283969465685255,0.8124285438697757,0.005,0.7857535250281659,0.6470079424780294
1,0.8244885496146807,0.5078732756403567,0.005,0.8134041384798423,0.5522052423461979
2,0.8573435114540217,0.415136660694166,0.005,0.79088079114031,0.6228427210584968
3,0.8816793893056971,0.3449357890900765,0.005,0.7965574071337901,0.6335517831216297
4,0.9020152671646526,0.28856235875974173,0.005,0.7963742904994017,0.6780976668816088
5,0.9163664122137405,0.24750950176024256,0.005,0.8066288226145437,0.6825476376876314
