epoch,acc,loss,lr,val_acc,val_loss
0,0.7024238354026257,0.8920698829954583,0.005,0.761048963884028,0.7043449517244508
1,0.8187007753758343,0.5299356628617158,0.005,0.7674674491433732,0.6702992287706109
2,0.8563404359094927,0.4204019884303621,0.005,0.7771868696458489,0.6890649198119452
3,0.879998778913315,0.3498960469652499,0.005,0.7557307904343331,0.7889029397104019
4,0.9019476158386462,0.2906669331400071,0.005,0.760315422735891,0.7595305086909228
5,0.9165089443981942,0.25001991658327494,0.005,0.7680176050427331,0.7491471423985607
6,0.9293912937297759,0.21567661052596926,0.005,0.7700348432492974,0.757684285413797
