epoch,acc,loss,lr,val_acc,val_loss
0,0.6980429273727115,0.9023291565180079,0.005,0.7563209966584062,0.7507057520180406
1,0.8198027661642846,0.528326239719961,0.005,0.7903994137483361,0.6275458972765964
2,0.8559521265227613,0.42408685339274954,0.005,0.7605349944161163,0.7483803094328869
3,0.8834915885622329,0.3473890229217501,0.005,0.7744595089994887,0.7485844547078477
4,0.902360089159418,0.2900274311266349,0.005,0.776291681869251,0.7541549962577736
5,0.9183586236393492,0.24957713832486675,0.005,0.784902894920637,0.7069220190827512
