epoch,acc,loss,lr,val_acc,val_loss
0,0.7017892037127503,0.8867825613874427,0.005,0.7492214692318083,0.7253441572691587
1,0.8224841231069858,0.5279662757020027,0.005,0.7620443303761061,0.6843619499697443
2,0.8564973131411823,0.41939434443355245,0.005,0.7939183000767923,0.6352851145988988
3,0.8814423546653639,0.34259710158437534,0.005,0.7928191976006552,0.6508359388076553
4,0.9032120175867122,0.28776929843815935,0.005,0.7450082433662653,0.9030676882200176
5,0.9193026380068393,0.24689091046117373,0.005,0.7166147645979841,0.9999571911994737
6,0.9319430874450415,0.2097719578217109,0.005,0.7541674299704372,0.7841196383808008
