epoch,acc,loss,lr,val_acc,val_loss
0,0.6988121049329227,0.9177279066674731,0.005,0.7234626648017638,0.8324297654332039
1,0.8204110300143767,0.5327154626011809,0.005,0.7807467056228337,0.6787855093685111
2,0.8567807738186222,0.4190135233496245,0.005,0.7624450950811059,0.7414067757600921
3,0.8831954072110543,0.3407780375675991,0.005,0.7780014642161123,0.6873330753160256
4,0.9003878217943024,0.29692510670915495,0.005,0.7743411419332289,0.7714608201694348
5,0.9180077564338839,0.2458492890439456,0.005,0.7624450950811059,0.8219704012745122
