epoch,acc,loss,lr,val_acc,val_loss
0,0.768472154372252,0.6986937775924023,0.01,0.8041765891953164,0.5851154872776716
1,0.868771372740596,0.3968737557290179,0.01,0.8334859863898108,0.48501989425571657
2,0.9052882266731803,0.288128707537898,0.01,0.8312877817214201,0.5296368949998318
3,0.9367366878358574,0.20336477617898335,0.01,0.8360505587868168,0.5556501680038246
4,0.9518808011724474,0.16029127870295534,0.01,0.8127862246815244,0.6982234246915547
5,0.9665058622374206,0.11987282311553832,0.01,0.8459424802531557,0.5948102523018794
6,0.9721238397655105,0.10379664429554895,0.01,0.8364169262752229,0.7213626743389324
7,0.9766121152906693,0.09342089048975785,0.01,0.8413628869974737,0.6515941657105477
8,0.9843978993649243,0.06869429182106539,0.01,0.8464920315076021,0.624276748625519
9,0.9874816805080606,0.05829848614250618,0.01,0.8391646821216298,0.6771451662389933
10,0.9946873473375671,0.03838895843102691,0.001,0.8653599560031482,0.6176611247746624
11,0.9980459208597948,0.028183876121399398,0.001,0.8670086097337317,0.6158266022738618
12,0.9990534929164632,0.02502238901598633,0.001,0.8666422422453256,0.6268183239286124
13,0.9992366878358574,0.02349567500502235,0.001,0.8706722843229913,0.6200650746644603
14,0.9992672203224231,0.02300432115123513,0.001,0.8681077120570084,0.6366772077463119
15,0.9996030776746458,0.021803378927806673,0.001,0.8719545704013897,0.6345951349705998
16,0.9996641426477773,0.021090530294926794,0.001,0.8695731819778774,0.6524252808886715
17,0.999694675134343,0.020592078074274205,0.001,0.8686572633332922,0.6502011641409616
18,0.9998778700537372,0.01999924315979525,0.001,0.867191793445179,0.6552972760468443
19,0.9997252076209087,0.01966811810098279,0.001,0.8693899981899998,0.6541521999944717
