epoch,acc,loss,lr,val_acc,val_loss
0,0.7164274809233105,0.8839711982312093,0.01,0.7449185131364986,0.7732636919608376
1,0.825709923675042,0.5200189090248283,0.01,0.7798937924002972,0.6742216071308019
2,0.8640305343438651,0.4082094330387261,0.01,0.7844717085656175,0.6420806783216162
3,0.895175572508164,0.3261323365000368,0.01,0.7888665080092325,0.6948548999161887
4,0.916854961832061,0.26718353551216706,0.01,0.7954587072728864,0.6735115655283639
5,0.9316946564885497,0.22531173152049988,0.01,0.8031496063537856,0.7080089513296348
6,0.9441221374045802,0.19257678981955725,0.01,0.810474272165908,0.720088314069232
7,0.9528549618211412,0.16471048972897856,0.01,0.8004028566633251,0.757622414533744
8,0.9621984732715229,0.13975271584423443,0.01,0.7833730086392261,0.8792009318492675
9,0.9677862595419847,0.12249160735570748,0.01,0.791247024430916,0.8561066248394635
10,0.9884885496183206,0.07213440761152115,0.001,0.8485625343780294,0.6464215375590818
11,0.9957862595419847,0.048507844464697,0.001,0.8509430507560546,0.6564088623900485
12,0.9977099236641221,0.0421433250112388,0.001,0.8494781175718009,0.6671970886852121
13,0.9979541984623626,0.0390872447681791,0.001,0.8498443508951508,0.6906259615022694
14,0.9988091603053435,0.03641113862190538,0.001,0.8500274675186247,0.6996788346839462
15,0.9992671755725191,0.03421410142863525,0.001,0.8485625343562002,0.7118098353361652
