epoch,acc,loss,lr,val_acc,val_loss
0,0.7446425300617125,0.7765451184384035,0.005,0.7964423253910926,0.5867779008427957
1,0.8395201172269128,0.4667588253256762,0.005,0.8001100312082916,0.5909642496721997
2,0.8754807985726348,0.36217896337892425,0.005,0.8089125252264083,0.5857707423702984
3,0.9018255082727883,0.2898398546375877,0.005,0.8054282046798477,0.6073357142288052
4,0.9243848831001907,0.22462574097472485,0.005,0.8199156428201033,0.57071944024614
5,0.9408999328299155,0.1840779566471521,0.005,0.8222996516116667,0.5880983496901531
6,0.9536296477087237,0.14951899541269342,0.005,0.807445442886412,0.6496007721478319
7,0.9668783197997436,0.11824635630748132,0.005,0.8338529250172766,0.6195843219429161
8,0.9713352463520362,0.10174784444259326,0.005,0.8329359985547788,0.6394793610167945
9,0.9742963550888333,0.09216349623618351,0.005,0.8408215661322592,0.604009287692463
10,0.9930093412296233,0.04555671818436586,0.001,0.8598936365850034,0.5341765715095202
11,0.99887050491483,0.029011077710804727,0.001,0.8630111865356344,0.5506470432396047
12,0.9991147200683802,0.026128501714165666,0.001,0.8672290482521932,0.5388645752403641
13,0.9993894621161243,0.024107314441772717,0.001,0.8664955071149868,0.5520893785683754
14,0.9995726234812871,0.02283689455282787,0.001,0.8661287364971959,0.5541526520556099
15,0.9998473655290311,0.021642793728464782,0.001,0.8666788923528334,0.5497529538091789
16,0.9998778924232249,0.021135885250254338,0.001,0.8670456629815548,0.5580985628747511
