epoch,acc,loss,lr,val_acc,val_loss
0,0.7484123107277013,0.7572377236313393,0.01,0.7818281736254233,0.6289723639163719
1,0.8587567171470445,0.4146215478472437,0.01,0.805825242816714,0.5977516896254328
2,0.8964948705131389,0.3060176219367142,0.01,0.8224949623927417,0.5747411711287163
3,0.9269662921348315,0.22202538494721352,0.01,0.8197472063934744,0.5886980580265956
4,0.945285784074255,0.173745056566053,0.01,0.783660010936431,0.7767332275886853
5,0.9611321445727383,0.13368963387225627,0.01,0.8010624657294803,0.7645883907610559
6,0.9710857351931584,0.10668298468889116,0.01,0.8386151310746367,0.6527261869617818
7,0.978505129457743,0.08523566381751937,0.01,0.8318373327902504,0.6943503969928506
8,0.9816805080605765,0.0767587339300817,0.01,0.8283568419342754,0.7353790678543842
9,0.9848253542059622,0.06679013877393679,0.01,0.8347682726538254,0.7263735790330426
10,0.9916035661653129,0.047219490202013666,0.001,0.8572998717386309,0.6228651805202654
11,0.9974963361307302,0.03138550461197575,0.001,0.8587653415830696,0.6249960734198263
12,0.9987176355642403,0.027132754056233572,0.001,0.8569335043266549,0.6396800919174384
13,0.9990534929164632,0.025309122876825133,0.001,0.8629785674158569,0.6361363494673542
14,0.9995114802149487,0.0240388618582886,0.001,0.8626122000584739,0.6261384048879441
15,0.999480947728383,0.023077382117830142,0.001,0.8611467301157678,0.6398450900159229
16,0.9997862725940401,0.02225440809376716,0.001,0.8602308114711826,0.6463637400686708
17,0.9996336101903296,0.022077916705963607,0.001,0.8616962814684818,0.6435800636834464
