epoch,acc,loss,lr,val_acc,val_loss
0,0.7484733756717147,0.7594932234892917,0.005,0.809672101139258,0.5717597280989464
1,0.8421470444553004,0.4608521868411541,0.005,0.8193808390033357,0.5426209258998264
2,0.8747252076209087,0.35800717779060776,0.005,0.8325700678544116,0.5230848191640036
3,0.9043417195896434,0.28375098898708384,0.005,0.8102216522845184,0.6346089627022576
4,0.926080850024426,0.22331934030252837,0.005,0.8301886792671203,0.5878596343953086
5,0.9427821201758672,0.17910941319315388,0.005,0.82066312519092,0.6737403237332702
6,0.9535295554469956,0.15021519325618984,0.005,0.8060084265172427,0.730956910490269
