epoch,acc,loss,lr,val_acc,val_loss
0,0.6886677250115044,0.9323065341181306,0.005,0.733088909312195,0.7730451706131044
1,0.8162168762901936,0.5414391411633293,0.005,0.7545371219611409,0.7346852245951442
2,0.8508059592281364,0.4338118611259591,0.005,0.7824014665772344,0.6540733348328951
3,0.8788924166419332,0.3619478217686965,0.005,0.7536205316769978,0.7548929184320102
4,0.8993466845914286,0.30147354160855727,0.005,0.7593033914386844,0.8358371109070852
5,0.9154963975992667,0.2566361360698629,0.005,0.7633363887107667,0.7670052651852014
6,0.9270667969154226,0.22421826902421668,0.005,0.7756186984855029,0.7824864892212214
