epoch,acc,loss,lr,val_acc,val_loss
0,0.7310111124825021,0.8025315840728467,0.005,0.7849679193728348,0.6472093693495452
1,0.8271461716864569,0.510027317682572,0.005,0.8045829514316416,0.5790943863193012
2,0.8578275735815856,0.4145797839719656,0.005,0.8201649862839255,0.5374876193886607
3,0.8802967395140787,0.35039949456782754,0.005,0.8018331806010658,0.6033325104676289
4,0.8988887531909624,0.29735243414359325,0.005,0.8031164070097926,0.6299308554171205
5,0.9175418243840262,0.24807016457054462,0.005,0.8009165903169229,0.6733312177778273
6,0.9311881792721461,0.21011022278088937,0.005,0.7945004583497751,0.6961565493226161
