epoch,acc,loss,lr,val_acc,val_loss
0,0.7320550789440861,0.8382746614551041,0.01,0.757786735024108,0.7201793398250805
1,0.8525631239868224,0.42927146090793816,0.01,0.8125687064422099,0.5470081124169436
2,0.8931700912565907,0.3156342315172649,0.01,0.7977281054894799,0.6327030122520374
3,0.924068024346793,0.2286399648499315,0.01,0.8283253938735033,0.5446553735254273
4,0.9466308429907745,0.1705950148342453,0.01,0.8067057529357206,0.6662535416464004
5,0.9574695447435875,0.13857021481067144,0.01,0.8186148772880942,0.6708782621031063
6,0.9671480475362157,0.11589116290695295,0.01,0.822645657793774,0.7318652434941394
7,0.9746588098945695,0.09262045587782124,0.01,0.8208134848148056,0.719349982964333
