epoch,acc,loss,lr,val_acc,val_loss
0,0.7603139218859742,0.7399672569013841,0.005,0.8116764275256223,0.576869408173233
1,0.8665831984663882,0.4005292705475081,0.005,0.8263177159590044,0.5374265779164316
2,0.905670748474609,0.2850771536735206,0.005,0.829428989838367,0.566689476523532
3,0.9360552111734822,0.199187131479656,0.005,0.8195461201458341,0.6318284147480396
4,0.9552936146804408,0.1453261774077788,0.005,0.8404099561634035,0.631584903768006
5,0.969768223052433,0.11020205733459167,0.005,0.8336383600884266,0.6682526436941166
6,0.9769139157767245,0.08893445627607163,0.005,0.8347364568081991,0.6910966163280244
7,0.9829297340214371,0.06918221732907708,0.005,0.8409590044796554,0.7103779340820117
8,0.9852505573029591,0.060286296035508675,0.005,0.8318081990342538,0.7909188972646984
9,0.9882737349986258,0.05324301385226672,0.005,0.8407759881997003,0.7955145383169152
10,0.9945949247259291,0.034311922581738805,0.001,0.8543191800005788,0.7074949881430077
11,0.9981677710935353,0.024206018028648572,0.001,0.860358711479349,0.7403157591863397
12,0.9985647540232693,0.022487338254662852,0.001,0.8627379210243113,0.7449497171019042
13,0.9992671084374141,0.02037150369466842,0.001,0.8638360174822772,0.7576267020026901
14,0.9993587198827374,0.019666961456221013,0.001,0.8598096633376349,0.7767921852965132
15,0.9996640913671482,0.018398283223459752,0.001,0.864385065798529,0.7761297181990451
16,0.9995114056249428,0.01809078267563513,0.001,0.8632869692532943,0.7859478455751393
17,0.9993587198827374,0.017802289298010313,0.001,0.8614568081991215,0.8067748138509243
18,0.9996640913671482,0.017000482808549988,0.001,0.8654831625183016,0.8005610034633346
19,0.9997557028124714,0.016667826648140736,0.001,0.8605417275847662,0.8207047073985961
20,0.9996946285155892,0.016442549418829,0.0004,0.8629209370424598,0.8254236001221362
21,0.99969462852469,0.016127282513383072,0.0004,0.8647510980966325,0.8161739495802415
22,0.9997251656640302,0.01604423731585156,0.0004,0.8640190336749634,0.8202943578144293
