epoch,acc,loss,lr,val_acc,val_loss
0,0.769263646362145,0.6996961580351722,0.01,0.8311640696936414,0.5012391168409045
1,0.8675662473904984,0.3947499389248987,0.01,0.8205316223975827,0.5375679668541025
2,0.9071315178825736,0.2848538055912248,0.01,0.8449129239557862,0.4947281215083807
3,0.9332946635658073,0.20917108682270727,0.01,0.8229147571363545,0.614762864666833
4,0.9535657589303689,0.15492581951049006,0.01,0.817781851567007,0.6622694263318392
5,0.9615337648064477,0.1309559751337942,0.01,0.8410632447623857,0.6137188972572358
6,0.974264256930028,0.09850675381364324,0.01,0.8452795600912967,0.6407730047031895
7,0.9796678471119795,0.08138046937175018,0.01,0.848029330932799,0.630281616568456
8,0.9837587006960556,0.07064160812950487,0.01,0.844179651750325,0.7375527928445887
9,0.9882464281353035,0.05741408003462527,0.01,0.8445462878312024,0.7093528846717558
10,0.9945353523018684,0.03881891336738299,0.001,0.8665444546506341,0.6092678060234412
11,0.9982598607888631,0.02809788810655826,0.001,0.867277726921655,0.6184256013875484
12,0.9989620222249359,0.025316801789676276,0.001,0.8672777268998018,0.6236165834063242
13,0.998992550983026,0.023671647306999773,0.001,0.8665444546615607,0.6283153597528404
14,0.9995115398705581,0.022394422695335488,0.001,0.8703941338440347,0.6319262648153261
15,0.9992062522896569,0.022136014065876855,0.001,0.8685609532866754,0.6516009940672751
16,0.9995420686286481,0.02127929374876768,0.001,0.8709440880145205,0.6492627075131501
17,0.9995725973867383,0.020782257554788106,0.001,0.8696608616276469,0.6517443739417275
18,0.9997862986933691,0.019963868340848786,0.001,0.8696608616276469,0.64406024821847
19,0.9998778849676395,0.019496649039923118,0.001,0.8681943171402383,0.6417977707469059
20,0.999755769935279,0.019360000579240907,0.0004,0.8678276810484343,0.652588405453973
